osmId,osmName,osmNameKo,osmNameEn,building,sourceUrl,reviewStatus,matchedOfficialCode,matchedCatalogName,notes
way/134987915,국제교류센터,국제교류센터,YU International Center,university,https://www.openstreetmap.org/way/134987915,estimated,A02,International Center,Auto-filled from a unique normalized exact Korean or English name match.
way/134988381,영남대학교 박물관,,Yeungnam University Museum,yes,https://www.openstreetmap.org/way/134988381,estimated,A04,University Museum,Auto-filled from a unique normalized exact Korean or English name match.
way/153003627,중앙도서관,,,yes,https://www.openstreetmap.org/way/153003627,estimated,B04,Central Library,Auto-filled from a unique normalized exact Korean or English name match.
way/153003630,이과대학 강당,,,university,https://www.openstreetmap.org/way/153003630,unreviewed,,,
way/153003632,제2과학관,,,university,https://www.openstreetmap.org/way/153003632,estimated,F22,Sciences Building 2,Auto-filled from a unique normalized exact Korean or English name match.
way/153003634,제3과학관,,,yes,https://www.openstreetmap.org/way/153003634,estimated,F23,Sciences Building 3,Auto-filled from a unique normalized exact Korean or English name match.
way/153003635,과학도서관,,,yes,https://www.openstreetmap.org/way/153003635,estimated,F24,Science Library,Auto-filled from a unique normalized exact Korean or English name match.
way/153003637,상경관,,,university,https://www.openstreetmap.org/way/153003637,estimated,B02,College of Business & Economics Building,Auto-filled from a unique normalized exact Korean or English name match.
way/153003640,IT관(공대본관),,,university,https://www.openstreetmap.org/way/153003640,estimated,E21,Information&Telecommunication Hall,Auto-filled from a unique normalized exact Korean or English name match.
way/153003643,제1과학관,,,university,https://www.openstreetmap.org/way/153003643,estimated,F21,Sciences Building 1,Auto-filled from a unique normalized exact Korean or English name match.
way/153003645,대학본부,,,yes,https://www.openstreetmap.org/way/153003645,unreviewed,,,
way/153003646,중앙기기센터,,,yes,https://www.openstreetmap.org/way/153003646,estimated,G14,Annex : Center for Research Facilities,Auto-filled from a unique normalized exact Korean or English name match.
way/153003650,천마아트센터,,Chunma Arts Center,yes,https://www.openstreetmap.org/way/153003650,estimated,E02,Chunma Arts Center Tower,Auto-filled from a unique normalized exact Korean or English name match.
way/153129431,대학본부,,,yes,https://www.openstreetmap.org/way/153129431,unreviewed,,,
way/153129434,전기관,,,university,https://www.openstreetmap.org/way/153129434,estimated,E22,Electrical Engineering Building,Auto-filled from a unique normalized exact Korean or English name match.
way/153129436,건설관,,,university,https://www.openstreetmap.org/way/153129436,estimated,F07,Construction Engineering Building,Auto-filled from a unique normalized exact Korean or English name match.
way/153129443,건축관,,,university,https://www.openstreetmap.org/way/153129443,estimated,F03,Architecture Building,Auto-filled from a unique normalized exact Korean or English name match.
way/153129446,사범대학,,,university,https://www.openstreetmap.org/way/153129446,unreviewed,,,
way/153129454,사범대학,,,university,https://www.openstreetmap.org/way/153129454,unreviewed,,,
way/153732584,학군단 (ROTC),,,yes,https://www.openstreetmap.org/way/153732584,estimated,C28,ROTC,Auto-filled from a unique normalized exact Korean or English name match.
way/153732585,정보전산원,,,university,https://www.openstreetmap.org/way/153732585,estimated,F04,Computer & IT Center,Auto-filled from a unique normalized exact Korean or English name match.
way/153732588,화공관,,,university,https://www.openstreetmap.org/way/153732588,estimated,E24,Chemical Engineering Building,Auto-filled from a unique normalized exact Korean or English name match.
way/153732589,공과대학 강당,,,yes,https://www.openstreetmap.org/way/153732589,estimated,F05,College of Engineering Auditorium,Auto-filled from a unique normalized exact Korean or English name match.
way/153732590,,,,university,https://www.openstreetmap.org/way/153732590,unreviewed,,,
way/153732600,외국어교육원,,,yes,https://www.openstreetmap.org/way/153732600,estimated,C02,Foreign Language Institute,Auto-filled from a unique normalized exact Korean or English name match.
way/153732609,약학대학본관,,,university,https://www.openstreetmap.org/way/153732609,unreviewed,,,
way/153732616,,,,yes,https://www.openstreetmap.org/way/153732616,unreviewed,,,
way/210933794,기계공학관,,,university,https://www.openstreetmap.org/way/210933794,unreviewed,,,
way/210933807,소재관,,,university,https://www.openstreetmap.org/way/210933807,estimated,E28,Materials Engineering Buliding,Auto-filled from a unique normalized exact Korean or English name match.
way/210935468,자연자원대학 본관,,,university,https://www.openstreetmap.org/way/210935468,unreviewed,,,
way/210935471,기계공학부,,,university,https://www.openstreetmap.org/way/210935471,unreviewed,,,
way/210935472,자원대제2실험동,,,university,https://www.openstreetmap.org/way/210935472,unreviewed,,,
way/210935474,생활과학대학 별관,,,university,https://www.openstreetmap.org/way/210935474,estimated,G02,College of Human Ecology & Kinesiology(annnex),Auto-filled from a unique normalized exact Korean or English name match.
way/210935475,섬유관,,,university,https://www.openstreetmap.org/way/210935475,estimated,E23,Textiles Engineering Building,Auto-filled from a unique normalized exact Korean or English name match.
way/210935477,생활과학대학 본관,,,university,https://www.openstreetmap.org/way/210935477,estimated,G01,College of Human Ecology & Kinesiology,Auto-filled from a unique normalized exact Korean or English name match.
way/211077852,노천강당,,,yes,https://www.openstreetmap.org/way/211077852,estimated,B01,Amphitheater,Auto-filled from a unique normalized exact Korean or English name match.
way/236156801,생산기술연구원,,,yes,https://www.openstreetmap.org/way/236156801,estimated,G15,Production Technology Research Center,Auto-filled from a unique normalized exact Korean or English name match.
way/236156802,중앙기기센터분관,,,yes,https://www.openstreetmap.org/way/236156802,unreviewed,,,
way/236156803,학생식당,,Student Cafeteria,yes,https://www.openstreetmap.org/way/236156803,unreviewed,,,
way/236381268,법정관,,,yes,https://www.openstreetmap.org/way/236381268,estimated,B05,Social Science Building,Auto-filled from a unique normalized exact Korean or English name match.
way/236381269,미술대학교,,,yes,https://www.openstreetmap.org/way/236381269,unreviewed,,,
way/271074405,,,,industrial,https://www.openstreetmap.org/way/271074405,unreviewed,,,
way/271074694,,,,government,https://www.openstreetmap.org/way/271074694,unreviewed,,,
way/271074695,,,,government,https://www.openstreetmap.org/way/271074695,unreviewed,,,
way/271074696,한국조폐공사 화폐본부,,,government,https://www.openstreetmap.org/way/271074696,unreviewed,,,
way/271074697,,,,government,https://www.openstreetmap.org/way/271074697,unreviewed,,,
way/271074698,,,,government,https://www.openstreetmap.org/way/271074698,unreviewed,,,
way/271074872,까치둥지,,,yes,https://www.openstreetmap.org/way/271074872,unreviewed,,,
way/271074873,,,,yes,https://www.openstreetmap.org/way/271074873,unreviewed,,,
way/279943224,,,,yes,https://www.openstreetmap.org/way/279943224,unreviewed,,,
way/280189412,,,,yes,https://www.openstreetmap.org/way/280189412,unreviewed,,,
way/280436520,대학원,,,yes,https://www.openstreetmap.org/way/280436520,unreviewed,,,
way/280437860,GS25,GS25,GS25,yes,https://www.openstreetmap.org/way/280437860,unreviewed,,,
way/334273921,,,,yes,https://www.openstreetmap.org/way/334273921,unreviewed,,,
way/334273922,,,,yes,https://www.openstreetmap.org/way/334273922,unreviewed,,,
way/348365622,Design,,,university,https://www.openstreetmap.org/way/348365622,unreviewed,,,
way/348450382,,,,roof,https://www.openstreetmap.org/way/348450382,unreviewed,,,
way/365429830,,,,yes,https://www.openstreetmap.org/way/365429830,unreviewed,,,
way/365429831,,,,yes,https://www.openstreetmap.org/way/365429831,unreviewed,,,
way/404687358,학생지원센터,,,yes,https://www.openstreetmap.org/way/404687358,estimated,A05,Student Support Center,Auto-filled from a unique normalized exact Korean or English name match.
way/413839796,,,,yes,https://www.openstreetmap.org/way/413839796,unreviewed,,,
